Constituency,Constituency Code,Conservative,Labour,Liberal Democrat,Reform UK,The Green Party,Scottish National Party (SNP),Plaid Cymru,Other,GE 2019 Notional Result,Winner,Margin,Change
Southend East and Rochford,E14001501,28.9%,35.1%,4.4%,21.9%,5.5%,0.0%,0.0%,4.2%,Conservative,Labour,6.2%,Labour GAIN from Conservative
Southend West and Leigh,E14001502,31.6%,39.1%,8.1%,15.6%,3.4%,0.0%,0.0%,2.1%,Conservative,Labour,7.5%,Labour GAIN from Conservative
Southgate and Wood Green,E14001503,18.6%,51.3%,6.6%,10.5%,8.0%,0.0%,0.0%,5.2%,Labour,Labour,32.7%,Labour HOLD
Southport,E14001504,26.8%,44.9%,9.4%,13.4%,4.2%,0.0%,0.0%,1.5%,Conservative,Labour,18.1%,Labour GAIN from Conservative
Spelthorne,E14001505,36.0%,29.8%,13.9%,13.7%,4.5%,0.0%,0.0%,2.2%,Conservative,Conservative,6.2%,Conservative HOLD
Spen Valley,E14001506,24.7%,43.5%,4.4%,19.4%,4.3%,0.0%,0.0%,3.7%,Conservative,Labour,18.9%,Labour GAIN from Conservative
St Albans,E14001507,17.1%,15.2%,52.7%,7.9%,5.8%,0.0%,0.0%,1.3%,Liberal Democrat,Liberal Democrat,35.6%,Liberal Democrat HOLD
St Austell and Newquay,E14001508,28.6%,27.0%,10.8%,21.9%,8.6%,0.0%,0.0%,3.1%,Conservative,Conservative,1.6%,Conservative HOLD
St Helens North,E14001509,12.4%,47.2%,0.6%,13.6%,2.0%,0.0%,0.0%,24.2%,Labour,Labour,23.1%,Labour HOLD
St Helens South and Whiston,E14001510,13.4%,60.0%,3.7%,15.0%,5.6%,0.0%,0.0%,2.3%,Labour,Labour,45.0%,Labour HOLD
St Ives,E14001511,24.6%,9.8%,47.5%,11.7%,4.7%,0.0%,0.0%,1.6%,Conservative,Liberal Democrat,22.9%,Liberal Democrat GAIN from Conservative
St Neots and Mid Cambridgeshire,E14001512,25.8%,28.5%,27.4%,11.1%,5.1%,0.0%,0.0%,2.1%,Conservative,Labour,1.1%,Labour GAIN from Conservative
Stafford,E14001513,30.9%,42.3%,2.3%,14.9%,8.3%,0.0%,0.0%,1.3%,Conservative,Labour,11.4%,Labour GAIN from Conservative
Staffordshire Moorlands,E14001514,33.8%,38.8%,2.8%,18.6%,6.1%,0.0%,0.0%,0.0%,Conservative,Labour,5.0%,Labour GAIN from Conservative
Stalybridge and Hyde,E14001515,19.4%,51.3%,1.9%,20.3%,4.9%,0.0%,0.0%,2.2%,Labour,Labour,31.0%,Labour HOLD
Stevenage,E14001516,26.4%,45.2%,6.9%,13.6%,5.2%,0.0%,0.0%,2.7%,Conservative,Labour,18.8%,Labour GAIN from Conservative
Stirling and Strathallan,S14000105,22.8%,16.6%,23.8%,3.2%,1.4%,32.3%,0.0%,0.0%,Scottish National Party (SNP),Scottish National Party (SNP),8.5%,SNP HOLD
Stockport,E14001517,14.6%,56.2%,5.5%,12.7%,7.3%,0.0%,0.0%,3.7%,Labour,Labour,41.6%,Labour HOLD
Stockton North,E14001518,16.5%,48.7%,2.5%,25.9%,6.3%,0.0%,0.0%,0.0%,Labour,Labour,22.8%,Labour HOLD
Stockton West,E14001519,30.5%,48.2%,2.2%,14.4%,2.4%,0.0%,0.0%,2.3%,Conservative,Labour,17.8%,Labour GAIN from Conservative
Stoke-on-Trent Central,E14001520,21.7%,44.9%,0.5%,21.4%,7.8%,0.0%,0.0%,3.7%,Conservative,Labour,23.2%,Labour GAIN from Conservative
Stoke-on-Trent North,E14001521,25.3%,39.6%,0.5%,25.5%,6.6%,0.0%,0.0%,2.6%,Conservative,Labour,14.1%,Labour GAIN from Conservative
Stoke-on-Trent South,E14001522,31.3%,37.0%,2.7%,19.8%,7.3%,0.0%,0.0%,2.0%,Conservative,Labour,5.7%,Labour GAIN from Conservative
"Stone, Great Wyrley and Penkridge",E14001523,45.2%,40.8%,5.5%,0.0%,6.6%,0.0%,0.0%,1.9%,Conservative,Conservative,4.4%,Conservative HOLD
Stourbridge,E14001524,34.5%,40.2%,2.6%,16.7%,4.0%,0.0%,0.0%,2.0%,Conservative,Labour,5.7%,Labour GAIN from Conservative
Stratford and Bow,E14001525,10.4%,58.4%,4.6%,7.6%,10.0%,0.0%,0.0%,8.9%,Labour,Labour,47.9%,Labour HOLD
Stratford-on-Avon,E14001526,31.6%,17.7%,25.7%,12.4%,11.8%,0.0%,0.0%,0.8%,Conservative,Conservative,5.9%,Conservative HOLD
Streatham and Croydon North,E14001527,14.2%,51.1%,11.9%,8.1%,9.0%,0.0%,0.0%,5.7%,Labour,Labour,36.9%,Labour HOLD
Stretford and Urmston,E14001528,14.5%,67.8%,2.5%,9.2%,3.3%,0.0%,0.0%,2.8%,Labour,Labour,53.3%,Labour HOLD
Stroud,E14001529,24.0%,47.3%,2.4%,11.7%,11.9%,0.0%,0.0%,2.6%,Conservative,Labour,23.3%,Labour GAIN from Conservative
Suffolk Coastal,E14001530,31.3%,29.9%,13.5%,16.2%,9.1%,0.0%,0.0%,0.0%,Conservative,Conservative,1.5%,Conservative HOLD
Sunderland Central,E14001531,19.5%,47.5%,6.2%,21.4%,5.4%,0.0%,0.0%,0.0%,Labour,Labour,26.1%,Labour HOLD
Surrey Heath,E14001532,33.7%,16.0%,34.5%,11.0%,3.5%,0.0%,0.0%,1.3%,Conservative,Liberal Democrat,0.8%,Liberal Democrat GAIN from Conservative
Sussex Weald,E14001533,36.6%,20.8%,15.8%,16.4%,9.3%,0.0%,0.0%,1.1%,Conservative,Conservative,15.9%,Conservative HOLD
Sutton and Cheam,E14001534,31.8%,23.7%,29.8%,9.2%,3.9%,0.0%,0.0%,1.6%,Conservative,Conservative,2.0%,Conservative HOLD
Sutton Coldfield,E14001535,37.7%,39.4%,6.3%,12.0%,3.4%,0.0%,0.0%,1.2%,Conservative,Labour,1.7%,Labour GAIN from Conservative
Swansea West,W07000108,16.6%,54.4%,5.3%,11.9%,1.5%,0.0%,8.8%,1.5%,Labour,Labour,37.9%,Labour HOLD
Swindon North,E14001536,28.2%,45.9%,4.1%,16.7%,3.6%,0.0%,0.0%,1.6%,Conservative,Labour,17.7%,Labour GAIN from Conservative
Swindon South,E14001537,23.9%,54.2%,3.9%,13.5%,2.2%,0.0%,0.0%,2.2%,Conservative,Labour,30.3%,Labour GAIN from Conservative
Tamworth,E14001538,28.1%,33.9%,4.7%,23.2%,8.6%,0.0%,0.0%,1.6%,Conservative,Labour,5.9%,Labour GAIN from Conservative
Tatton,E14001539,33.3%,32.6%,18.8%,9.8%,5.5%,0.0%,0.0%,0.0%,Conservative,Conservative,0.7%,Conservative HOLD
Taunton and Wellington,E14001540,25.2%,14.9%,44.7%,11.7%,2.5%,0.0%,0.0%,1.0%,Conservative,Liberal Democrat,19.5%,Liberal Democrat GAIN from Conservative
Telford,E14001541,25.0%,47.3%,2.5%,22.9%,2.4%,0.0%,0.0%,0.0%,Conservative,Labour,22.3%,Labour GAIN from Conservative
Tewkesbury,E14001542,30.6%,23.5%,27.2%,11.7%,5.9%,0.0%,0.0%,1.2%,Conservative,Conservative,3.4%,Conservative HOLD
The Wrekin,E14001543,35.3%,35.6%,6.3%,16.4%,5.2%,0.0%,0.0%,1.3%,Conservative,Labour,0.3%,Labour GAIN from Conservative
Thirsk and Malton,E14001544,35.2%,26.5%,9.4%,16.9%,9.5%,0.0%,0.0%,2.6%,Conservative,Conservative,8.8%,Conservative HOLD
Thornbury and Yate,E14001545,26.9%,16.1%,45.4%,9.2%,2.5%,0.0%,0.0%,0.0%,Conservative,Liberal Democrat,18.4%,Liberal Democrat GAIN from Conservative
Thurrock,E14001546,30.3%,42.7%,0.3%,20.4%,3.0%,0.0%,0.0%,3.3%,Conservative,Labour,12.4%,Labour GAIN from Conservative
Tipton and Wednesbury,E14001547,26.7%,43.2%,0.4%,22.6%,4.0%,0.0%,0.0%,3.1%,Conservative,Labour,16.5%,Labour GAIN from Conservative
Tiverton and Minehead,E14001548,30.8%,16.7%,27.0%,16.9%,8.5%,0.0%,0.0%,0.0%,Conservative,Conservative,3.8%,Conservative HOLD
Tonbridge,E14001549,35.7%,24.1%,9.8%,14.2%,15.2%,0.0%,0.0%,1.0%,Conservative,Conservative,11.6%,Conservative HOLD
Tooting,E14001550,16.8%,59.3%,7.5%,7.9%,5.6%,0.0%,0.0%,3.1%,Labour,Labour,42.5%,Labour HOLD
Torbay,E14001551,30.7%,18.6%,27.0%,17.0%,5.4%,0.0%,0.0%,1.2%,Conservative,Conservative,3.8%,Conservative HOLD
Torfaen,W07000109,14.8%,54.0%,1.6%,16.6%,4.1%,0.0%,6.1%,2.9%,Labour,Labour,37.4%,Labour HOLD
Torridge and Tavistock,E14001552,32.5%,20.5%,18.6%,18.5%,7.9%,0.0%,0.0%,2.1%,Conservative,Conservative,12.0%,Conservative HOLD
Tottenham,E14001553,9.3%,59.4%,2.7%,8.5%,11.6%,0.0%,0.0%,8.5%,Labour,Labour,47.8%,Labour HOLD
Truro and Falmouth,E14001554,26.0%,39.3%,9.5%,13.0%,9.0%,0.0%,0.0%,3.4%,Conservative,Labour,13.4%,Labour GAIN from Conservative
Tunbridge Wells,E14001555,29.6%,20.8%,31.9%,11.7%,4.2%,0.0%,0.0%,1.9%,Conservative,Liberal Democrat,2.4%,Liberal Democrat GAIN from Conservative
Twickenham,E14001556,18.0%,13.8%,56.4%,7.2%,3.4%,0.0%,0.0%,1.2%,Liberal Democrat,Liberal Democrat,38.4%,Liberal Democrat HOLD
Tynemouth,E14001557,19.8%,56.6%,3.6%,13.6%,3.7%,0.0%,0.0%,2.7%,Labour,Labour,36.8%,Labour HOLD
Uxbridge and South Ruislip,E14001558,31.6%,46.5%,1.3%,12.8%,4.8%,0.0%,0.0%,3.0%,Conservative,Labour,14.9%,Labour GAIN from Conservative
Vale of Glamorgan,W07000110,27.6%,44.5%,6.7%,7.8%,3.2%,0.0%,7.4%,2.9%,Conservative,Labour,16.9%,Labour GAIN from Conservative
Vauxhall and Camberwell Green,E14001559,10.7%,58.9%,11.9%,6.9%,7.7%,0.0%,0.0%,3.9%,Labour,Labour,47.1%,Labour HOLD
Wakefield and Rothwell,E14001560,22.2%,49.6%,7.2%,14.0%,3.4%,0.0%,0.0%,3.6%,Conservative,Labour,27.4%,Labour GAIN from Conservative
Wallasey,E14001561,13.9%,66.1%,1.3%,13.1%,3.4%,0.0%,0.0%,2.2%,Labour,Labour,52.2%,Labour HOLD
Walsall and Bloxwich,E14001562,24.1%,42.9%,1.9%,20.0%,6.8%,0.0%,0.0%,4.3%,Conservative,Labour,18.8%,Labour GAIN from Conservative
Walthamstow,E14001563,10.2%,61.7%,2.8%,7.9%,7.5%,0.0%,0.0%,9.9%,Labour,Labour,51.5%,Labour HOLD
Warrington North,E14001564,18.2%,53.7%,4.2%,17.3%,5.1%,0.0%,0.0%,1.4%,Labour,Labour,35.5%,Labour HOLD
Warrington South,E14001565,22.9%,54.0%,7.6%,10.3%,3.2%,0.0%,0.0%,2.1%,Labour,Labour,31.1%,Labour HOLD
Warwick and Leamington,E14001566,18.5%,45.1%,9.9%,10.5%,14.4%,0.0%,0.0%,1.6%,Labour,Labour,26.6%,Labour HOLD
Washington and Gateshead South,E14001567,16.4%,53.3%,2.5%,22.5%,3.2%,0.0%,0.0%,2.2%,Labour,Labour,30.8%,Labour HOLD
Watford,E14001568,25.1%,41.5%,20.2%,7.7%,2.0%,0.0%,0.0%,3.6%,Conservative,Labour,16.4%,Labour GAIN from Conservative
Waveney Valley,E14001569,29.0%,23.9%,5.3%,16.3%,24.0%,0.0%,0.0%,1.6%,Conservative,Conservative,5.0%,Conservative HOLD
Weald of Kent,E14001570,38.5%,21.1%,9.6%,19.3%,11.6%,0.0%,0.0%,0.0%,Conservative,Conservative,17.5%,Conservative HOLD
Wellingborough and Rushden,E14001571,26.7%,38.2%,4.2%,23.2%,6.6%,0.0%,0.0%,1.1%,Conservative,Labour,11.5%,Labour GAIN from Conservative
Wells and Mendip Hills,E14001572,27.3%,14.2%,41.7%,10.3%,5.5%,0.0%,0.0%,1.1%,Conservative,Liberal Democrat,14.4%,Liberal Democrat GAIN from Conservative
Welwyn Hatfield,E14001573,28.1%,43.9%,10.8%,10.8%,6.3%,0.0%,0.0%,0.0%,Conservative,Labour,15.7%,Labour GAIN from Conservative
West Aberdeenshire and Kincardine,S14000058,24.4%,13.2%,21.7%,7.1%,1.3%,31.6%,0.0%,0.7%,Conservative,Scottish National Party (SNP),7.2%,SNP GAIN from Conservative
West Bromwich,E14001574,26.0%,47.5%,0.8%,17.3%,4.4%,0.0%,0.0%,3.9%,Conservative,Labour,21.4%,Labour GAIN from Conservative
West Dorset,E14001575,28.9%,13.7%,48.1%,0.0%,8.3%,0.0%,0.0%,1.1%,Conservative,Liberal Democrat,19.3%,Liberal Democrat GAIN from Conservative
West Dunbartonshire,S14000106,6.9%,31.2%,11.4%,10.4%,3.8%,26.6%,0.0%,9.8%,Scottish National Party (SNP),Labour,4.6%,Labour GAIN from SNP
West Ham and Beckton,E14001576,11.8%,54.4%,2.6%,10.8%,11.2%,0.0%,0.0%,9.2%,Labour,Labour,42.6%,Labour HOLD
West Lancashire,E14001577,18.0%,63.4%,2.7%,12.7%,3.2%,0.0%,0.0%,0.0%,Labour,Labour,45.4%,Labour HOLD
West Suffolk,E14001578,33.9%,30.4%,6.6%,20.1%,5.7%,0.0%,0.0%,3.2%,Conservative,Conservative,3.5%,Conservative HOLD
West Worcestershire,E14001579,34.4%,22.0%,18.2%,13.6%,10.6%,0.0%,0.0%,1.3%,Conservative,Conservative,12.3%,Conservative HOLD
Westmorland and Lonsdale,E14001580,21.0%,13.1%,45.0%,12.7%,7.3%,0.0%,0.0%,0.8%,Conservative,Liberal Democrat,24.0%,Liberal Democrat GAIN from Conservative
Weston-super-Mare,E14001581,28.5%,35.3%,13.4%,18.1%,4.8%,0.0%,0.0%,0.0%,Conservative,Labour,6.7%,Labour GAIN from Conservative
Wetherby and Easingwold,E14001582,36.9%,30.7%,5.5%,12.8%,12.3%,0.0%,0.0%,1.9%,Conservative,Conservative,6.2%,Conservative HOLD
Whitehaven and Workington,E14001583,22.1%,56.5%,1.3%,16.8%,3.4%,0.0%,0.0%,0.0%,Conservative,Labour,34.4%,Labour GAIN from Conservative
Widnes and Halewood,E14001584,10.8%,68.3%,1.3%,13.3%,3.5%,0.0%,0.0%,2.8%,Labour,Labour,55.0%,Labour HOLD
Wigan,E14001585,17.2%,55.5%,3.1%,19.3%,2.8%,0.0%,0.0%,2.1%,Labour,Labour,36.3%,Labour HOLD
Wimbledon,E14001586,25.2%,24.3%,39.0%,6.0%,2.9%,0.0%,0.0%,2.5%,Conservative,Liberal Democrat,13.8%,Liberal Democrat GAIN from Conservative
Winchester,E14001587,25.9%,10.3%,52.5%,6.7%,4.1%,0.0%,0.0%,0.5%,Conservative,Liberal Democrat,26.5%,Liberal Democrat GAIN from Conservative
Windsor,E14001588,33.1%,27.8%,20.2%,11.4%,4.9%,0.0%,0.0%,2.6%,Conservative,Conservative,5.3%,Conservative HOLD
Wirral West,E14001589,24.6%,56.0%,5.1%,10.4%,3.9%,0.0%,0.0%,0.0%,Labour,Labour,31.5%,Labour HOLD
Witham,E14001590,34.5%,28.9%,8.9%,17.1%,9.1%,0.0%,0.0%,1.4%,Conservative,Conservative,5.7%,Conservative HOLD
Witney,E14001591,32.7%,25.6%,23.6%,13.3%,3.6%,0.0%,0.0%,1.2%,Conservative,Conservative,7.1%,Conservative HOLD
Woking,E14001592,27.9%,20.7%,39.0%,7.8%,2.7%,0.0%,0.0%,1.9%,Conservative,Liberal Democrat,11.1%,Liberal Democrat GAIN from Conservative
Wokingham,E14001593,28.2%,18.2%,42.4%,7.8%,3.4%,0.0%,0.0%,0.0%,Conservative,Liberal Democrat,14.2%,Liberal Democrat GAIN from Conservative
Wolverhampton North East,E14001594,30.1%,46.5%,1.3%,18.9%,3.3%,0.0%,0.0%,0.0%,Conservative,Labour,16.3%,Labour GAIN from Conservative
Wolverhampton South East,E14001595,19.2%,47.0%,1.8%,22.9%,6.0%,0.0%,0.0%,3.1%,Labour,Labour,24.1%,Labour HOLD
Wolverhampton West,E14001596,26.9%,53.0%,1.1%,12.4%,3.3%,0.0%,0.0%,3.4%,Conservative,Labour,26.1%,Labour GAIN from Conservative
Worcester,E14001597,25.4%,42.9%,4.2%,13.0%,12.8%,0.0%,0.0%,1.8%,Conservative,Labour,17.4%,Labour GAIN from Conservative
Worsley and Eccles,E14001598,19.0%,54.5%,3.3%,16.1%,4.7%,0.0%,0.0%,2.5%,Labour,Labour,35.5%,Labour HOLD
Worthing West,E14001599,30.1%,39.3%,7.0%,15.7%,6.2%,0.0%,0.0%,1.8%,Conservative,Labour,9.2%,Labour GAIN from Conservative
Wrexham,W07000111,22.8%,40.5%,1.9%,15.7%,7.4%,0.0%,9.7%,2.0%,Conservative,Labour,17.6%,Labour GAIN from Conservative
Wycombe,E14001600,25.3%,40.2%,11.6%,11.8%,4.9%,0.0%,0.0%,6.3%,Conservative,Labour,14.9%,Labour GAIN from Conservative
Wyre Forest,E14001601,34.3%,32.3%,5.9%,18.0%,8.1%,0.0%,0.0%,1.4%,Conservative,Conservative,2.0%,Conservative HOLD
Wythenshawe and Sale East,E14001602,15.9%,57.2%,4.4%,14.5%,5.7%,0.0%,0.0%,2.5%,Labour,Labour,41.3%,Labour HOLD
Yeovil,E14001603,27.2%,14.7%,37.6%,13.3%,6.2%,0.0%,0.0%,0.9%,Conservative,Liberal Democrat,10.4%,Liberal Democrat GAIN from Conservative
Ynys Môn,W07000112,18.7%,29.7%,0.9%,26.6%,2.0%,0.0%,22.0%,0.2%,Conservative,Labour,3.1%,Labour GAIN from Conservative
York Central,E14001604,13.0%,66.2%,4.1%,7.3%,7.3%,0.0%,0.0%,2.0%,Labour,Labour,53.2%,Labour HOLD
York Outer,E14001605,27.2%,40.3%,21.2%,7.3%,2.7%,0.0%,0.0%,1.5%,Conservative,Labour,13.1%,Labour GAIN from Conservative
