ONS Code,Westminster Constituency,Winner,Second,2019 winner (notional),CON,LAB,LDM,RFM,GRN,SNP,PCY,OTH,CON (low),CON (high),LAB (low),LAB (high),LDM (low),LDM (high),RFM (low),RFM (high),GRN (low),GRN (high),SNP (low),SNP (high),PCY (low),PCY (high),OTH (low),OTH (high)
E14001405,North West Norfolk,conservative,labour,conservative,32.8%,28.8%,6.7%,26.5%,5.2%,,,0.0%,28.5%,37.0%,23.4%,34.0%,4.4%,9.6%,21.7%,31.1%,3.8%,7.5%,,,,,0.0%,0.0%
E14001406,Northampton North,labour,conservative,conservative,25.1%,46.7%,6.9%,16.9%,3.9%,,,0.5%,21.3%,28.2%,42.6%,51.4%,4.4%,9.9%,13.3%,20.8%,2.7%,5.5%,,,,,0.1%,1.6%
E14001407,Northampton South,labour,conservative,conservative,30.8%,39.3%,8.4%,16.5%,4.8%,,,0.2%,26.9%,34.6%,34.0%,44.4%,5.6%,12.3%,12.4%,20.6%,3.4%,7.2%,,,,,0.0%,0.8%
E14001408,Norwich North,labour,conservative,conservative,25.2%,49.7%,4.5%,16.1%,4.2%,,,0.2%,22.2%,28.2%,45.8%,53.4%,2.8%,6.4%,12.8%,19.4%,3.0%,5.9%,,,,,0.1%,0.9%
E14001409,Norwich South,labour,conservative,labour,15.1%,57.3%,9.5%,10.4%,7.3%,,,0.4%,12.4%,17.1%,53.1%,61.2%,6.2%,12.8%,8.0%,13.2%,5.2%,9.8%,,,,,0.1%,1.5%
E14001410,Nottingham East,labour,conservative,labour,11.7%,63.8%,6.1%,10.5%,7.2%,,,0.7%,9.1%,14.4%,58.9%,67.4%,4.2%,9.3%,8.3%,13.3%,5.1%,10.0%,,,,,0.1%,2.0%
E14001411,Nottingham North and Kimberley,labour,brexit_party,labour,17.6%,52.5%,3.2%,22.2%,4.5%,,,0.0%,14.7%,20.7%,47.5%,57.9%,2.2%,5.7%,17.8%,26.4%,3.0%,6.6%,,,,,0.0%,0.0%
E14001412,Nottingham South,labour,conservative,labour,15.9%,54.5%,6.5%,15.5%,7.1%,,,0.5%,12.8%,19.1%,48.7%,59.0%,3.6%,10.5%,12.3%,19.4%,5.0%,9.8%,,,,,0.1%,1.5%
E14001413,Nuneaton,labour,conservative,conservative,28.1%,39.4%,4.9%,21.5%,5.7%,,,0.4%,23.5%,31.6%,34.6%,44.2%,3.1%,7.6%,17.4%,25.5%,4.1%,7.8%,,,,,0.1%,1.3%
E14001414,Old Bexley and Sidcup,conservative,labour,conservative,35.4%,32.0%,7.2%,20.5%,4.6%,,,0.3%,30.3%,40.3%,26.2%,37.9%,4.4%,11.1%,15.8%,25.1%,3.2%,6.7%,,,,,0.1%,1.1%
E14001415,Oldham East and Saddleworth,labour,brexit_party,labour,17.7%,52.1%,5.7%,19.5%,4.1%,,,0.9%,14.3%,21.2%,46.8%,56.4%,3.7%,9.1%,15.4%,23.3%,2.9%,6.0%,,,,,0.2%,3.2%
E14001416,"Oldham West, Chadderton and Royton",labour,brexit_party,labour,14.0%,57.5%,3.9%,18.4%,5.4%,,,0.7%,11.3%,17.1%,52.6%,61.1%,2.3%,6.3%,15.4%,21.7%,3.6%,7.7%,,,,,0.1%,1.9%
E14001417,Orpington,conservative,labour,conservative,35.2%,30.7%,12.4%,16.5%,5.0%,,,0.2%,29.8%,40.2%,23.5%,36.7%,8.1%,17.5%,12.7%,20.8%,3.5%,7.8%,,,,,0.1%,1.0%
E14001418,Ossett and Denby Dale,labour,conservative,conservative,28.3%,37.6%,6.7%,22.1%,4.9%,,,0.4%,24.0%,32.4%,32.5%,43.2%,4.2%,10.0%,17.4%,27.1%,3.3%,6.8%,,,,,0.1%,1.2%
E14001419,Oxford East,labour,conservative,labour,11.8%,70.5%,9.1%,0.0%,8.0%,,,0.7%,9.2%,15.1%,64.3%,75.0%,5.4%,12.7%,0.0%,0.0%,5.4%,11.4%,,,,,0.1%,2.3%
E14001420,Oxford West and Abingdon,libdem,labour,libdem,16.7%,18.3%,50.1%,9.9%,4.5%,,,0.4%,13.5%,20.3%,12.5%,23.3%,44.6%,54.8%,7.6%,13.4%,3.1%,7.1%,,,,,0.1%,1.5%
E14001421,Peckham,labour,green,labour,6.2%,72.8%,5.9%,6.0%,8.3%,,,0.7%,3.7%,8.8%,66.7%,76.3%,3.9%,8.7%,4.5%,8.0%,5.9%,12.0%,,,,,0.2%,3.1%
E14001422,Pendle and Clitheroe,labour,conservative,conservative,26.8%,42.8%,7.3%,18.7%,4.2%,,,0.2%,23.0%,31.1%,37.6%,48.2%,4.7%,10.7%,14.8%,22.5%,3.0%,5.7%,,,,,0.1%,0.9%
E14001423,Penistone and Stocksbridge,labour,brexit_party,conservative,24.0%,36.5%,8.7%,26.4%,4.5%,,,0.0%,19.5%,28.6%,30.7%,41.5%,5.5%,13.1%,21.4%,31.4%,2.8%,6.8%,,,,,0.0%,0.0%
E14001424,Penrith and Solway,labour,conservative,conservative,26.5%,42.4%,7.9%,18.5%,4.5%,,,0.3%,22.4%,30.8%,36.3%,48.3%,4.8%,11.4%,14.8%,23.2%,3.0%,6.1%,,,,,0.1%,1.1%
E14001425,Peterborough,labour,conservative,conservative,24.3%,47.7%,5.4%,17.1%,5.0%,,,0.4%,20.7%,27.7%,43.1%,52.6%,3.5%,8.6%,13.2%,20.9%,3.3%,6.9%,,,,,0.1%,1.5%
E14001426,Plymouth Moor View,labour,conservative,conservative,28.6%,42.7%,4.1%,19.8%,4.8%,,,0.0%,24.5%,32.2%,38.1%,47.0%,2.7%,6.3%,16.0%,24.4%,3.4%,6.8%,,,,,0.0%,0.0%
E14001427,Plymouth Sutton and Devonport,labour,conservative,labour,19.5%,50.7%,5.7%,18.0%,5.8%,,,0.3%,16.6%,22.5%,45.5%,54.1%,3.7%,8.6%,14.9%,22.2%,4.2%,7.8%,,,,,0.1%,1.0%
E14001428,"Pontefract, Castleford and Knottingley",labour,brexit_party,labour,14.6%,47.1%,5.6%,28.5%,3.9%,,,0.3%,11.9%,17.4%,42.4%,51.9%,3.7%,8.3%,24.4%,32.0%,2.7%,5.4%,,,,,0.1%,1.2%
E14001429,Poole,conservative,labour,conservative,34.0%,32.6%,9.2%,17.8%,5.2%,,,1.2%,28.8%,38.3%,27.4%,38.4%,6.6%,13.9%,13.9%,21.5%,3.5%,7.2%,,,,,0.3%,3.2%
E14001430,Poplar and Limehouse,labour,conservative,labour,10.7%,65.3%,8.9%,7.1%,6.2%,,,1.7%,8.1%,13.1%,60.4%,69.1%,6.1%,12.5%,5.5%,9.0%,4.1%,9.1%,,,,,0.6%,4.7%
E14001431,Portsmouth North,labour,conservative,conservative,34.9%,37.0%,6.2%,17.3%,4.6%,,,0.0%,30.9%,39.3%,32.0%,42.1%,4.3%,9.0%,13.8%,21.4%,3.2%,6.4%,,,,,0.0%,0.0%
E14001432,Portsmouth South,labour,conservative,labour,20.8%,51.9%,7.7%,14.6%,3.9%,,,1.1%,17.7%,24.2%,47.2%,56.2%,4.9%,10.7%,11.5%,18.2%,2.7%,5.7%,,,,,0.3%,3.1%
E14001433,Preston,labour,brexit_party,labour,14.6%,59.5%,5.1%,15.7%,4.8%,,,0.4%,11.5%,17.3%,54.5%,63.7%,3.2%,7.7%,12.6%,19.4%,3.1%,6.9%,,,,,0.1%,1.5%
E14001434,Putney,labour,conservative,labour,20.1%,54.3%,12.7%,7.0%,5.6%,,,0.4%,17.1%,22.9%,49.3%,58.6%,8.7%,16.7%,5.4%,9.2%,3.9%,8.1%,,,,,0.1%,1.4%
E14001435,Queen's Park and Maida Vale,labour,conservative,labour,11.1%,67.2%,7.3%,7.6%,5.7%,,,1.1%,8.5%,14.0%,61.2%,71.2%,4.3%,10.7%,5.6%,10.3%,3.5%,8.8%,,,,,0.2%,3.8%
E14001436,Rawmarsh and Conisbrough,labour,brexit_party,labour,15.3%,48.7%,3.6%,28.4%,3.7%,,,0.3%,12.5%,18.2%,44.6%,53.7%,2.4%,5.7%,23.5%,32.3%,2.6%,5.4%,,,,,0.1%,1.0%
E14001437,Rayleigh and Wickford,conservative,brexit_party,conservative,37.3%,23.1%,7.8%,27.4%,4.5%,,,0.0%,33.0%,41.7%,17.8%,28.4%,5.1%,11.4%,22.0%,32.4%,3.2%,6.3%,,,,,0.0%,0.0%
E14001438,Reading Central,labour,conservative,labour,19.5%,57.8%,5.6%,10.3%,6.6%,,,0.4%,16.1%,22.7%,52.9%,61.6%,3.5%,8.7%,8.1%,13.3%,4.8%,9.3%,,,,,0.1%,1.2%
E14001439,Reading West and Mid Berkshire,labour,conservative,conservative,28.2%,39.3%,13.5%,14.6%,4.2%,,,0.2%,24.3%,32.2%,33.3%,44.8%,9.7%,18.4%,10.6%,18.5%,2.8%,5.9%,,,,,0.0%,1.1%
E14001440,Redcar,labour,conservative,conservative,23.9%,45.8%,4.1%,21.8%,4.1%,,,0.3%,20.4%,27.7%,40.1%,51.4%,2.5%,6.7%,17.1%,26.0%,2.8%,5.9%,,,,,0.1%,1.1%
E14001441,Redditch,conservative,labour,conservative,35.5%,34.4%,6.4%,19.3%,4.1%,,,0.2%,30.8%,39.0%,28.5%,39.8%,4.1%,10.0%,15.1%,23.8%,2.9%,6.0%,,,,,0.1%,1.1%
E14001442,Reigate,labour,conservative,conservative,32.3%,34.2%,13.2%,14.4%,6.0%,,,0.0%,27.6%,36.7%,27.6%,40.0%,9.1%,18.1%,10.8%,18.8%,4.5%,8.8%,,,,,0.0%,0.0%
E14001443,Ribble Valley,labour,conservative,conservative,28.8%,37.8%,9.8%,19.2%,4.1%,,,0.3%,24.5%,32.9%,32.1%,42.8%,6.3%,14.7%,14.9%,24.1%,2.8%,5.7%,,,,,0.1%,1.1%
E14001444,Richmond and Northallerton,conservative,labour,conservative,36.4%,23.4%,13.3%,21.1%,5.5%,,,0.3%,31.3%,41.2%,18.3%,29.9%,9.5%,19.4%,16.1%,25.7%,3.7%,7.7%,,,,,0.1%,1.5%
E14001445,Richmond Park,libdem,conservative,libdem,24.4%,4.8%,59.1%,7.6%,3.7%,,,0.3%,20.3%,28.2%,1.1%,9.9%,53.1%,63.7%,5.5%,10.1%,2.7%,5.9%,,,,,0.1%,1.4%
E14001446,Rochdale,labour,brexit_party,labour,15.6%,55.9%,7.0%,16.1%,4.9%,,,0.5%,13.0%,18.9%,50.6%,60.0%,4.2%,10.7%,12.6%,19.2%,3.2%,7.0%,,,,,0.1%,1.8%
E14001447,Rochester and Strood,labour,conservative,conservative,30.6%,38.5%,7.6%,18.8%,4.1%,,,0.3%,26.3%,34.2%,32.8%,43.8%,5.0%,11.2%,14.0%,23.2%,2.9%,6.0%,,,,,0.1%,1.0%
E14001448,Romford,conservative,labour,conservative,36.4%,34.8%,5.7%,18.6%,4.3%,,,0.2%,31.3%,41.0%,29.5%,40.0%,3.6%,9.0%,13.9%,23.1%,2.8%,6.2%,,,,,0.0%,0.7%
E14001449,Romsey and Southampton North,conservative,libdem,conservative,30.4%,21.1%,29.0%,14.6%,4.5%,,,0.3%,26.5%,34.9%,14.9%,27.2%,22.7%,33.9%,11.0%,18.9%,3.2%,7.0%,,,,,0.1%,1.4%
E14001450,Rossendale and Darwen,labour,conservative,conservative,28.4%,44.1%,3.8%,18.9%,4.5%,,,0.3%,24.2%,31.8%,39.4%,48.8%,2.5%,6.1%,15.6%,23.3%,3.1%,6.1%,,,,,0.1%,0.9%
E14001451,Rother Valley,labour,brexit_party,conservative,23.2%,38.6%,6.8%,25.6%,5.8%,,,0.0%,19.3%,27.4%,33.5%,43.5%,4.2%,10.7%,21.6%,30.6%,3.8%,8.4%,,,,,0.0%,0.0%
E14001452,Rotherham,labour,brexit_party,labour,0.0%,57.1%,6.5%,31.4%,4.1%,,,0.9%,0.0%,0.0%,50.1%,60.6%,3.8%,10.6%,26.4%,35.6%,2.6%,5.9%,,,,,0.3%,2.9%
E14001453,Rugby,labour,conservative,conservative,28.8%,42.8%,6.6%,17.5%,4.1%,,,0.2%,25.1%,32.3%,37.8%,47.0%,4.7%,9.6%,14.0%,21.4%,2.8%,5.7%,,,,,0.0%,0.8%
E14001454,"Ruislip, Northwood and Pinner",conservative,labour,conservative,34.1%,32.3%,11.9%,15.3%,6.5%,,,0.0%,28.8%,39.2%,26.2%,37.5%,8.4%,17.0%,11.9%,20.3%,4.6%,9.6%,,,,,0.0%,0.0%
E14001455,Runcorn and Helsby,labour,conservative,labour,16.7%,55.5%,6.4%,16.4%,4.5%,,,0.5%,13.8%,19.5%,51.2%,59.3%,4.2%,9.1%,13.2%,20.1%,2.9%,6.7%,,,,,0.1%,2.2%
E14001456,Runnymede and Weybridge,conservative,libdem,conservative,32.9%,22.1%,23.5%,15.0%,6.1%,,,0.5%,27.9%,37.3%,16.8%,28.8%,17.4%,28.7%,11.6%,19.4%,4.0%,8.2%,,,,,0.1%,1.7%
E14001457,Rushcliffe,labour,conservative,conservative,28.6%,44.2%,10.0%,12.0%,4.9%,,,0.4%,23.9%,32.4%,38.5%,48.7%,6.4%,14.6%,9.0%,15.1%,3.4%,7.6%,,,,,0.1%,1.1%
E14001458,Rutland and Stamford,conservative,labour,conservative,36.0%,25.8%,14.4%,18.1%,5.3%,,,0.4%,31.0%,41.4%,19.3%,32.1%,9.9%,19.1%,14.3%,23.0%,3.6%,7.4%,,,,,0.1%,1.5%
E14001459,Salford,labour,brexit_party,labour,9.8%,61.7%,5.5%,15.7%,7.0%,,,0.4%,7.7%,12.3%,57.9%,64.9%,3.4%,8.4%,12.7%,18.7%,4.9%,9.6%,,,,,0.1%,1.2%
E14001460,Salisbury,conservative,labour,conservative,28.9%,28.5%,23.1%,14.0%,5.3%,,,0.3%,23.4%,33.3%,22.5%,34.5%,17.6%,28.9%,10.8%,17.7%,3.8%,7.6%,,,,,0.1%,1.4%
E14001461,Scarborough and Whitby,labour,conservative,conservative,26.7%,44.2%,5.4%,19.7%,3.5%,,,0.4%,22.5%,30.9%,38.8%,49.4%,3.2%,8.1%,15.3%,24.8%,2.4%,5.3%,,,,,0.1%,1.6%
E14001462,Scunthorpe,labour,conservative,conservative,23.9%,47.2%,3.7%,21.3%,3.6%,,,0.4%,20.0%,27.6%,42.3%,51.4%,2.3%,5.9%,17.1%,26.4%,2.5%,5.0%,,,,,0.1%,1.5%
E14001463,Sefton Central,labour,conservative,labour,16.3%,59.3%,5.3%,13.7%,5.0%,,,0.4%,13.5%,19.3%,54.0%,63.3%,3.5%,8.8%,10.9%,17.2%,3.4%,7.3%,,,,,0.1%,1.5%
E14001464,Selby,labour,conservative,conservative,28.5%,38.7%,7.1%,19.9%,5.8%,,,0.0%,24.9%,31.9%,33.1%,43.1%,4.3%,11.1%,15.9%,24.0%,4.0%,8.5%,,,,,0.0%,0.0%
E14001465,Sevenoaks,conservative,labour,conservative,34.5%,25.1%,16.4%,19.0%,4.6%,,,0.4%,29.9%,39.0%,18.2%,30.9%,11.9%,22.4%,15.1%,23.6%,3.1%,6.9%,,,,,0.1%,1.3%
E14001466,Sheffield Brightside and Hillsborough,labour,conservative,labour,16.0%,65.6%,7.3%,0.0%,10.4%,,,0.7%,12.7%,19.2%,59.7%,69.7%,4.9%,11.0%,0.0%,0.0%,7.2%,14.5%,,,,,0.2%,2.6%
E14001467,Sheffield Central,labour,green,labour,7.5%,72.0%,5.8%,0.0%,14.0%,,,0.7%,4.9%,10.0%,65.5%,76.6%,3.4%,9.3%,0.0%,0.0%,9.8%,19.5%,,,,,0.2%,2.2%
E14001468,Sheffield Hallam,labour,libdem,labour,15.7%,51.0%,24.2%,0.0%,8.8%,,,0.4%,12.2%,19.7%,45.1%,56.3%,18.0%,29.7%,0.0%,0.0%,6.1%,13.1%,,,,,0.1%,1.4%
E14001469,Sheffield Heeley,labour,conservative,labour,15.9%,68.5%,7.1%,0.0%,7.8%,,,0.7%,12.2%,18.9%,63.5%,72.7%,4.7%,11.3%,0.0%,0.0%,5.5%,10.6%,,,,,0.2%,2.1%
E14001470,Sheffield South East,labour,conservative,labour,18.3%,67.8%,5.7%,0.0%,6.2%,,,2.0%,14.7%,22.1%,61.0%,72.2%,3.5%,8.7%,0.0%,0.0%,4.4%,9.9%,,,,,0.6%,5.4%
E14001471,Sherwood Forest,labour,conservative,conservative,29.2%,36.7%,7.4%,21.2%,5.1%,,,0.3%,25.6%,32.7%,32.1%,41.0%,4.7%,10.7%,17.3%,25.3%,3.5%,7.5%,,,,,0.1%,1.1%
E14001472,Shipley,labour,conservative,conservative,25.1%,48.3%,5.0%,16.4%,4.7%,,,0.4%,21.2%,29.4%,43.3%,52.5%,3.0%,7.8%,13.1%,20.3%,3.3%,6.7%,,,,,0.1%,1.4%
E14001473,Shrewsbury,labour,conservative,conservative,22.8%,45.1%,11.2%,15.9%,4.4%,,,0.5%,19.3%,25.9%,40.0%,50.4%,7.7%,15.1%,12.2%,19.7%,3.0%,6.2%,,,,,0.2%,1.7%
E14001474,Sittingbourne and Sheppey,conservative,labour,conservative,33.2%,33.2%,6.0%,23.3%,3.9%,,,0.5%,28.8%,37.6%,27.2%,38.9%,3.8%,9.6%,18.6%,28.0%,2.8%,5.2%,,,,,0.1%,1.8%
E14001475,Skipton and Ripon,labour,conservative,conservative,30.7%,31.2%,13.2%,19.1%,5.1%,,,0.7%,26.4%,35.1%,24.5%,37.0%,8.7%,18.6%,15.2%,24.1%,3.7%,7.4%,,,,,0.2%,2.6%
E14001476,Sleaford and North Hykeham,conservative,labour,conservative,36.6%,28.3%,9.2%,21.2%,4.4%,,,0.3%,32.3%,41.0%,22.7%,34.2%,6.4%,12.9%,15.6%,25.6%,3.2%,6.1%,,,,,0.1%,0.9%
E14001477,Slough,labour,conservative,labour,14.6%,59.3%,9.0%,9.7%,6.2%,,,1.2%,11.6%,17.5%,53.8%,63.1%,5.6%,13.3%,7.4%,12.1%,4.0%,9.1%,,,,,0.4%,3.9%
E14001478,Smethwick,labour,brexit_party,labour,13.0%,57.4%,6.8%,17.1%,5.2%,,,0.6%,10.4%,15.7%,52.6%,60.6%,4.2%,9.9%,14.2%,20.4%,3.5%,7.5%,,,,,0.1%,2.3%
E14001479,Solihull West and Shirley,conservative,labour,conservative,36.9%,26.2%,13.2%,17.7%,5.6%,,,0.3%,32.5%,41.5%,20.1%,31.7%,8.7%,18.1%,13.9%,22.5%,3.8%,7.9%,,,,,0.1%,1.5%
E14001480,South Basildon and East Thurrock,labour,conservative,conservative,28.9%,38.9%,4.5%,24.4%,2.9%,,,0.3%,24.2%,33.7%,32.6%,45.1%,2.8%,7.0%,19.2%,29.9%,2.2%,4.2%,,,,,0.1%,1.7%
E14001481,South Cambridgeshire,libdem,conservative,conservative,24.6%,18.3%,41.9%,11.2%,3.6%,,,0.4%,20.8%,28.4%,12.8%,24.0%,35.9%,47.3%,8.1%,14.6%,2.4%,5.1%,,,,,0.1%,1.7%
E14001482,South Cotswolds,conservative,libdem,conservative,34.7%,10.8%,34.5%,15.1%,4.6%,,,0.2%,29.2%,39.8%,6.1%,16.5%,27.1%,41.5%,11.3%,19.9%,3.1%,6.7%,,,,,0.0%,0.7%
E14001483,South Derbyshire,labour,conservative,conservative,28.3%,40.3%,6.7%,20.0%,4.5%,,,0.2%,24.4%,32.2%,35.1%,46.1%,4.3%,10.2%,16.2%,24.4%,2.9%,6.0%,,,,,0.0%,0.9%
E14001484,South Devon,libdem,conservative,conservative,28.3%,12.5%,41.1%,14.8%,3.1%,,,0.2%,23.8%,32.5%,7.4%,17.9%,34.2%,47.5%,11.4%,18.8%,2.1%,4.6%,,,,,0.0%,0.9%
E14001485,South Dorset,labour,conservative,conservative,29.1%,36.8%,8.9%,20.0%,4.8%,,,0.3%,24.9%,33.1%,31.9%,40.7%,6.3%,12.7%,16.2%,24.6%,3.3%,6.6%,,,,,0.1%,1.2%
E14001486,South East Cornwall,labour,conservative,conservative,30.2%,31.2%,12.3%,20.6%,5.2%,,,0.4%,25.1%,34.5%,25.4%,36.4%,9.3%,17.4%,16.0%,24.9%,3.4%,7.6%,,,,,0.1%,1.5%
E14001487,South Holland and The Deepings,conservative,brexit_party,conservative,39.3%,24.7%,5.6%,25.7%,4.3%,,,0.4%,34.2%,44.0%,19.8%,30.0%,3.4%,8.7%,20.8%,30.5%,3.1%,6.1%,,,,,0.1%,1.4%
E14001488,South Leicestershire,conservative,labour,conservative,35.2%,28.0%,11.0%,20.8%,4.9%,,,0.0%,30.0%,39.3%,23.4%,33.5%,7.7%,14.5%,16.8%,25.7%,3.5%,6.9%,,,,,0.0%,0.0%
E14001489,South Norfolk,labour,conservative,conservative,30.0%,38.4%,11.3%,14.9%,4.9%,,,0.5%,25.6%,34.2%,32.7%,43.9%,7.6%,16.7%,11.4%,19.0%,3.4%,6.8%,,,,,0.1%,1.6%
E14001490,South Northamptonshire,labour,conservative,conservative,32.2%,34.8%,8.3%,19.4%,5.1%,,,0.3%,27.7%,36.7%,28.8%,40.0%,5.0%,11.4%,15.5%,24.6%,3.5%,7.1%,,,,,0.1%,1.2%
E14001491,South Ribble,labour,conservative,conservative,26.0%,46.6%,5.7%,17.1%,4.7%,,,0.0%,22.0%,29.4%,41.1%,51.2%,3.4%,8.9%,13.2%,22.0%,3.2%,7.0%,,,,,0.0%,0.0%
E14001492,South Shields,labour,brexit_party,labour,11.4%,51.9%,4.0%,24.5%,7.2%,,,1.0%,8.7%,14.5%,46.6%,56.3%,2.5%,6.6%,20.6%,28.2%,5.0%,10.7%,,,,,0.2%,3.0%
E14001493,South Shropshire,conservative,labour,conservative,34.8%,23.4%,16.1%,20.5%,5.2%,,,0.0%,29.8%,39.8%,17.4%,29.0%,11.0%,22.1%,15.5%,25.5%,3.7%,7.5%,,,,,0.0%,0.0%
E14001494,South Suffolk,conservative,labour,conservative,33.4%,28.4%,10.6%,20.8%,6.8%,,,0.0%,28.1%,37.9%,22.6%,34.0%,6.3%,15.3%,16.4%,26.3%,4.8%,9.4%,,,,,0.0%,0.0%
E14001495,South West Devon,conservative,labour,conservative,32.7%,32.2%,9.8%,19.1%,5.3%,,,0.9%,28.7%,37.1%,26.0%,37.9%,6.3%,14.2%,14.8%,23.8%,3.5%,7.8%,,,,,0.3%,3.1%
E14001496,South West Hertfordshire,conservative,labour,conservative,32.2%,28.8%,11.6%,20.3%,5.4%,,,1.6%,27.3%,36.7%,22.0%,34.9%,8.1%,16.3%,15.0%,25.8%,3.5%,8.0%,,,,,0.4%,5.7%
E14001497,South West Norfolk,conservative,labour,conservative,38.2%,31.2%,5.9%,20.2%,4.0%,,,0.5%,34.0%,42.3%,26.5%,35.5%,3.7%,9.0%,15.7%,25.2%,2.8%,5.6%,,,,,0.1%,1.8%
E14001498,South West Wiltshire,labour,conservative,conservative,29.9%,33.9%,12.2%,19.2%,4.5%,,,0.2%,25.5%,34.3%,28.3%,38.8%,7.7%,16.8%,15.4%,23.8%,3.1%,6.4%,,,,,0.1%,0.9%
E14001499,Southampton Itchen,labour,conservative,conservative,25.9%,47.2%,7.1%,15.0%,4.5%,,,0.3%,22.4%,29.3%,42.5%,50.9%,4.4%,10.7%,11.6%,18.7%,3.2%,6.4%,,,,,0.1%,1.1%
E14001500,Southampton Test,labour,conservative,labour,18.6%,49.4%,10.6%,14.4%,6.6%,,,0.5%,15.5%,21.9%,43.9%,53.9%,7.8%,14.6%,11.3%,17.4%,4.8%,9.7%,,,,,0.1%,1.2%
E14001501,Southend East and Rochford,labour,conservative,conservative,29.0%,41.8%,5.0%,20.3%,3.6%,,,0.3%,25.1%,33.2%,36.4%,47.2%,3.1%,7.6%,15.5%,24.5%,2.5%,5.1%,,,,,0.1%,1.1%
E14001502,Southend West and Leigh,labour,conservative,conservative,32.7%,33.7%,7.6%,20.2%,5.6%,,,0.4%,28.3%,37.0%,28.4%,38.4%,4.7%,10.8%,16.5%,24.0%,3.6%,8.1%,,,,,0.1%,1.4%
E14001503,Southgate and Wood Green,labour,conservative,labour,15.7%,61.8%,7.4%,8.4%,6.2%,,,0.4%,13.0%,18.3%,57.5%,65.5%,4.8%,10.4%,6.3%,10.9%,4.1%,9.0%,,,,,0.1%,1.8%
E14001504,Southport,labour,conservative,conservative,27.2%,44.8%,8.8%,14.8%,3.9%,,,0.6%,22.9%,30.9%,39.5%,49.2%,6.1%,12.5%,11.2%,18.9%,2.7%,5.6%,,,,,0.1%,2.0%
E14001505,Spelthorne,labour,conservative,conservative,31.7%,34.7%,12.6%,15.6%,5.1%,,,0.3%,27.3%,36.9%,29.7%,40.1%,8.0%,17.5%,11.4%,19.7%,3.5%,7.5%,,,,,0.0%,1.1%
E14001506,Spen Valley,labour,conservative,conservative,23.9%,43.8%,5.8%,21.9%,3.9%,,,0.6%,20.4%,27.7%,37.9%,48.7%,3.7%,8.9%,17.9%,25.8%,2.8%,5.4%,,,,,0.2%,2.3%
E14001507,St Albans,libdem,conservative,libdem,21.5%,8.6%,55.6%,9.4%,4.4%,,,0.5%,17.7%,25.1%,3.6%,13.6%,50.4%,61.1%,6.7%,12.0%,3.1%,6.4%,,,,,0.1%,1.7%
E14001508,St Austell and Newquay,labour,conservative,conservative,27.3%,36.3%,9.2%,21.8%,4.7%,,,0.7%,23.1%,31.6%,31.0%,41.6%,6.2%,13.0%,17.2%,26.6%,3.4%,6.5%,,,,,0.2%,2.2%
E14001509,St Helens North,labour,brexit_party,labour,11.2%,55.8%,4.8%,22.0%,5.5%,,,0.6%,9.0%,13.6%,50.9%,59.9%,2.9%,7.8%,18.5%,25.2%,3.8%,7.9%,,,,,0.2%,2.0%
E14001510,St Helens South and Whiston,labour,brexit_party,labour,7.9%,59.8%,7.1%,18.6%,5.9%,,,0.7%,5.8%,10.4%,53.5%,63.9%,4.3%,11.5%,14.7%,22.0%,4.1%,8.7%,,,,,0.2%,2.6%
E14001511,St Ives,libdem,conservative,conservative,25.9%,11.9%,40.0%,17.6%,4.3%,,,0.3%,22.4%,29.7%,6.2%,16.9%,34.9%,46.2%,13.7%,22.6%,2.9%,6.2%,,,,,0.1%,1.0%
E14001512,St Neots and Mid Cambridgeshire,conservative,libdem,conservative,29.6%,24.7%,25.4%,13.8%,5.8%,,,0.7%,25.0%,33.8%,18.8%,31.2%,20.0%,32.2%,10.6%,17.4%,3.8%,8.7%,,,,,0.2%,2.5%
E14001513,Stafford,labour,conservative,conservative,29.3%,43.5%,5.7%,16.0%,5.2%,,,0.2%,25.3%,33.4%,37.7%,48.1%,3.6%,9.1%,12.3%,19.7%,3.7%,7.1%,,,,,0.1%,1.2%
E14001514,Staffordshire Moorlands,labour,conservative,conservative,28.7%,38.6%,5.0%,23.4%,4.2%,,,0.0%,24.2%,32.6%,33.6%,43.4%,3.1%,7.6%,18.4%,28.1%,2.9%,5.9%,,,,,0.0%,0.0%
E14001515,Stalybridge and Hyde,labour,brexit_party,labour,16.3%,55.3%,3.8%,19.5%,4.6%,,,0.5%,13.7%,19.0%,50.9%,58.7%,2.4%,6.1%,16.3%,22.6%,3.2%,6.7%,,,,,0.1%,1.8%
E14001516,Stevenage,labour,conservative,conservative,27.1%,43.0%,7.2%,17.7%,4.6%,,,0.3%,22.8%,31.1%,37.2%,48.6%,4.3%,11.0%,14.2%,22.7%,3.2%,6.6%,,,,,0.1%,1.4%
E14001517,Stockport,labour,brexit_party,labour,12.0%,59.0%,5.2%,16.8%,6.6%,,,0.4%,9.1%,14.5%,53.9%,63.2%,3.4%,7.6%,13.4%,20.3%,4.9%,8.8%,,,,,0.1%,1.2%
E14001518,Stockton North,labour,brexit_party,labour,16.3%,56.2%,4.1%,20.5%,2.9%,,,0.0%,13.5%,19.6%,51.9%,60.5%,2.6%,6.2%,16.9%,24.1%,2.0%,4.1%,,,,,0.0%,0.0%
