ONS Code,Westminster Constituency,Winner,Second,2019 winner (notional),CON,LAB,LDM,RFM,GRN,SNP,PCY,OTH,,Margin,,CON (lo),CON (hi),LAB (lo),LAB (hi),LDM (lo),LDM (hi),RFM (lo),RFM (hi),GRN (lo),GRN (hi),SNP (lo),SNP (hi),PCY (lo),PCY (hi),OTH (lo),OTH (hi)
E14001356,Melksham and Devizes,Liberal Democrats,Conservatives,Conservatives,35.29%,7.35%,35.57%,17.99%,3.80%,,,0.00%,,0.3%,,32.0%,38.8%,4.1%,11.2%,30.8%,40.0%,14.8%,21.9%,2.6%,5.6%,0.0%,0.0%,,,0.0%,0.0%
E14001357,Melton and Syston,Labour,Conservatives,Conservatives,31.24%,36.93%,5.36%,21.05%,5.13%,,,0.29%,,5.7%,,27.5%,34.6%,31.6%,41.3%,3.3%,7.8%,17.4%,25.0%,3.6%,7.6%,0.0%,0.0%,,,0.1%,1.2%
E14001358,Meriden and Solihull East,Conservatives,Labour,Conservatives,31.68%,31.44%,10.83%,21.07%,4.98%,,,0.00%,,0.2%,,27.9%,35.0%,26.9%,36.5%,7.8%,14.3%,17.2%,24.8%,3.4%,7.2%,0.0%,0.0%,,,0.0%,0.0%
E14001359,Mid Bedfordshire,Labour,Conservatives,Conservatives,33.95%,33.95%,8.08%,17.44%,5.15%,,,1.42%,,0.0%,,30.3%,37.2%,28.3%,38.8%,5.1%,11.5%,14.1%,21.5%,3.5%,7.5%,0.0%,0.0%,,,0.5%,3.6%
E14001360,Mid Buckinghamshire,Conservatives,Liberal Democrats,Conservatives,34.36%,23.50%,24.15%,12.98%,4.72%,,,0.28%,,10.2%,,29.9%,38.9%,18.0%,29.1%,17.9%,29.3%,9.2%,16.5%,2.9%,7.6%,0.0%,0.0%,,,0.1%,1.1%
E14001361,Mid Cheshire,Labour,Conservatives,Conservatives,20.75%,50.18%,6.33%,18.68%,3.66%,,,0.40%,,29.4%,,17.9%,24.6%,44.7%,54.7%,3.6%,9.2%,15.1%,23.3%,2.4%,5.8%,0.0%,0.0%,,,0.1%,1.2%
E14001362,Mid Derbyshire,Labour,Conservatives,Conservatives,30.81%,39.86%,5.88%,18.03%,4.71%,,,0.71%,,9.0%,,26.6%,34.1%,34.8%,44.8%,3.5%,9.7%,14.0%,22.8%,2.9%,7.2%,0.0%,0.0%,,,0.2%,2.4%
E14001363,Mid Dorset and North Poole,Liberal Democrats,Conservatives,Conservatives,39.49%,11.72%,42.81%,0.00%,5.56%,,,0.43%,,3.3%,,35.1%,44.4%,7.5%,16.7%,36.7%,47.6%,0.0%,0.0%,3.7%,8.8%,0.0%,0.0%,,,0.1%,1.3%
E14001364,Mid Leicestershire,Conservatives,Labour,Conservatives,35.96%,33.51%,8.51%,16.87%,5.14%,,,0.00%,,2.5%,,32.3%,39.9%,28.6%,38.0%,6.0%,11.2%,13.5%,20.4%,3.6%,7.1%,0.0%,0.0%,,,0.0%,0.0%
E14001365,Mid Norfolk,Labour,Conservatives,Conservatives,32.61%,33.72%,8.68%,21.30%,3.70%,,,0.00%,,1.1%,,29.5%,36.5%,29.2%,38.1%,5.5%,11.9%,17.7%,25.4%,2.4%,5.6%,0.0%,0.0%,,,0.0%,0.0%
E14001366,Mid Sussex,Liberal Democrats,Conservatives,Conservatives,28.56%,21.93%,31.39%,13.74%,3.95%,,,0.44%,,2.8%,,24.7%,31.8%,17.4%,27.1%,26.5%,36.0%,10.2%,17.1%,2.6%,5.8%,0.0%,0.0%,,,0.1%,1.3%
E14001367,Middlesbrough and Thornaby East,Labour,Reform UK,Labour,8.33%,63.77%,2.41%,19.66%,4.40%,,,1.43%,,44.1%,,6.6%,10.1%,58.2%,67.2%,1.5%,4.2%,16.8%,23.5%,2.8%,7.0%,0.0%,0.0%,,,0.5%,4.4%
E14001368,Middlesbrough South and East Cleveland,Labour,Conservatives,Conservatives,32.02%,58.75%,4.33%,0.00%,4.34%,,,0.56%,,26.7%,,27.7%,36.5%,52.9%,63.4%,2.6%,7.9%,0.0%,0.0%,2.6%,7.0%,0.0%,0.0%,,,0.1%,2.1%
E14001369,Milton Keynes Central,Labour,Conservatives,Conservatives,24.49%,51.06%,8.75%,11.38%,3.91%,,,0.41%,,26.6%,,21.2%,27.5%,46.5%,55.9%,5.9%,12.7%,9.0%,13.8%,2.7%,5.9%,0.0%,0.0%,,,0.1%,1.4%
E14001370,Milton Keynes North,Labour,Conservatives,Conservatives,25.37%,43.97%,8.52%,17.15%,4.99%,,,0.00%,,18.6%,,22.0%,29.0%,38.0%,48.1%,5.4%,13.1%,13.4%,21.7%,3.2%,7.7%,0.0%,0.0%,,,0.0%,0.0%
E14001371,Mitcham and Morden,Labour,Conservatives,Labour,13.21%,61.69%,7.61%,11.04%,5.83%,,,0.63%,,48.5%,,10.8%,15.7%,56.5%,65.6%,4.7%,11.4%,8.7%,13.8%,3.9%,9.0%,0.0%,0.0%,,,0.2%,2.4%
E14001372,Morecambe and Lunesdale,Labour,Conservatives,Conservatives,29.40%,39.86%,10.00%,16.97%,3.77%,,,0.00%,,10.5%,,25.1%,33.4%,34.0%,44.8%,6.9%,14.1%,13.0%,22.0%,2.4%,6.0%,0.0%,0.0%,,,0.0%,0.0%
E14001373,New Forest East,Conservatives,Reform UK,Conservatives,35.32%,19.30%,13.45%,25.24%,5.48%,,,1.20%,,10.1%,,31.4%,39.0%,15.0%,23.3%,10.4%,17.2%,21.0%,29.5%,3.7%,7.5%,0.0%,0.0%,,,0.4%,2.7%
E14001374,New Forest West,Conservatives,Labour,Conservatives,36.26%,23.96%,12.92%,20.10%,6.32%,,,0.44%,,12.3%,,31.3%,40.4%,18.7%,30.2%,8.3%,17.9%,15.4%,24.9%,4.1%,9.7%,0.0%,0.0%,,,0.1%,1.5%
E14001375,Newark,Conservatives,Labour,Conservatives,32.80%,30.23%,6.70%,22.84%,6.54%,,,0.88%,,2.6%,,29.1%,35.6%,26.1%,34.1%,4.5%,9.6%,19.1%,27.0%,4.6%,8.9%,0.0%,0.0%,,,0.3%,2.4%
E14001376,Newbury,Liberal Democrats,Conservatives,Conservatives,29.33%,6.33%,46.47%,13.31%,4.31%,,,0.24%,,17.1%,,25.7%,33.3%,2.6%,10.4%,41.4%,51.0%,9.7%,16.7%,3.0%,6.4%,0.0%,0.0%,,,0.1%,1.0%
E14001377,Newcastle upon Tyne Central and West,Labour,Reform UK,Labour,13.10%,58.75%,3.16%,16.66%,5.91%,,,2.43%,,42.1%,,10.3%,15.4%,53.5%,62.7%,2.0%,5.3%,13.8%,19.7%,4.0%,8.1%,0.0%,0.0%,,,1.0%,5.8%
E14001378,Newcastle upon Tyne East and Wallsend,Labour,Reform UK,Labour,10.52%,59.03%,5.13%,15.66%,9.31%,,,0.35%,,43.4%,,8.2%,12.6%,54.1%,62.7%,3.3%,8.1%,12.5%,18.4%,6.6%,13.3%,0.0%,0.0%,,,0.1%,1.4%
E14001379,Newcastle upon Tyne North,Labour,Conservatives,Labour,17.65%,46.97%,12.34%,15.68%,6.80%,,,0.57%,,29.3%,,14.2%,20.9%,41.8%,52.2%,8.2%,16.2%,12.4%,19.4%,4.3%,10.4%,0.0%,0.0%,,,0.1%,1.8%
E14001380,Newcastle-under-Lyme,Labour,Conservatives,Conservatives,27.25%,44.02%,3.96%,20.63%,4.15%,,,0.00%,,16.8%,,23.5%,30.7%,39.0%,48.9%,2.2%,6.0%,16.3%,24.4%,2.7%,6.2%,0.0%,0.0%,,,0.0%,0.0%
E14001381,Newton Abbot,Conservatives,Labour,Conservatives,27.83%,24.47%,19.81%,19.69%,5.47%,,,2.73%,,3.4%,,22.7%,32.1%,19.7%,29.6%,14.3%,25.1%,16.1%,23.8%,3.6%,7.7%,0.0%,0.0%,,,1.1%,5.5%
E14001382,Newton Aycliffe and Spennymoor,Labour,Reform UK,Conservatives,21.36%,44.42%,3.01%,25.60%,4.58%,,,1.03%,,18.8%,,18.8%,24.4%,40.5%,48.5%,1.9%,4.8%,22.2%,28.4%,3.1%,7.1%,0.0%,0.0%,,,0.4%,2.3%
E14001383,Normanton and Hemsworth,Labour,Reform UK,Labour,12.53%,49.81%,4.32%,29.82%,3.53%,,,0.00%,,20.0%,,10.1%,15.2%,45.1%,54.0%,2.3%,6.5%,26.2%,34.1%,2.5%,5.3%,0.0%,0.0%,,,0.0%,0.0%
E14001384,North Bedfordshire,Labour,Conservatives,Conservatives,32.29%,37.03%,10.46%,16.52%,3.71%,,,0.00%,,4.7%,,28.7%,36.5%,32.0%,41.8%,7.3%,13.6%,13.3%,20.5%,2.5%,5.5%,0.0%,0.0%,,,0.0%,0.0%
E14001385,North Cornwall,Liberal Democrats,Conservatives,Conservatives,31.46%,8.07%,35.29%,21.09%,3.76%,,,0.32%,,3.8%,,27.4%,35.6%,4.2%,12.2%,29.2%,40.4%,16.7%,25.2%,2.4%,6.3%,0.0%,0.0%,,,0.1%,1.3%
E14001386,North Cotswolds,Conservatives,Labour,Conservatives,35.39%,25.58%,13.02%,19.16%,6.53%,,,0.31%,,9.8%,,31.0%,40.3%,20.0%,31.7%,8.9%,18.2%,14.9%,23.3%,4.1%,10.9%,0.0%,0.0%,,,0.1%,1.4%
E14001387,North Devon,Liberal Democrats,Conservatives,Conservatives,31.98%,4.41%,37.92%,21.01%,4.40%,,,0.27%,,5.9%,,28.4%,35.5%,1.4%,7.8%,34.4%,41.6%,17.4%,24.6%,3.0%,5.8%,0.0%,0.0%,,,0.1%,0.9%
E14001388,North Dorset,Conservatives,Liberal Democrats,Conservatives,34.34%,9.31%,34.15%,17.40%,4.39%,,,0.41%,,0.2%,,30.7%,38.1%,5.3%,13.2%,29.2%,39.5%,13.8%,21.4%,2.8%,6.7%,0.0%,0.0%,,,0.1%,1.3%
E14001389,North Durham,Labour,Reform UK,Labour,13.66%,50.74%,6.55%,22.33%,5.58%,,,1.15%,,28.4%,,11.0%,15.8%,44.9%,55.7%,4.1%,10.0%,18.6%,26.0%,3.7%,8.1%,0.0%,0.0%,,,0.3%,3.1%
E14001390,North East Cambridgeshire,Conservatives,Labour,Conservatives,36.00%,29.43%,6.10%,22.32%,5.53%,,,0.63%,,6.6%,,32.0%,40.3%,23.7%,33.9%,3.6%,9.3%,17.9%,26.8%,3.6%,7.9%,0.0%,0.0%,,,0.2%,1.9%
E14001391,North East Derbyshire,Labour,Conservatives,Conservatives,29.14%,40.08%,5.11%,21.47%,3.36%,,,0.83%,,10.9%,,25.1%,32.9%,35.0%,44.4%,3.0%,8.5%,17.5%,25.7%,2.2%,5.0%,0.0%,0.0%,,,0.2%,2.9%
E14001392,North East Hampshire,Conservatives,Liberal Democrats,Conservatives,39.07%,16.09%,26.93%,13.65%,3.87%,,,0.38%,,12.1%,,33.6%,44.1%,10.4%,22.1%,20.1%,33.5%,10.8%,17.4%,2.4%,6.8%,0.0%,0.0%,,,0.1%,1.5%
E14001393,North East Hertfordshire,Labour,Conservatives,Conservatives,29.41%,38.84%,10.23%,15.68%,5.84%,,,0.00%,,9.4%,,25.3%,33.6%,32.8%,43.8%,6.6%,15.0%,12.4%,19.8%,3.8%,8.5%,0.0%,0.0%,,,0.0%,0.0%
E14001394,North East Somerset and Hanham,Labour,Conservatives,Conservatives,27.96%,40.92%,10.36%,16.96%,3.36%,,,0.43%,,13.0%,,24.5%,31.6%,35.6%,45.9%,6.8%,14.6%,13.2%,20.5%,2.2%,5.3%,0.0%,0.0%,,,0.1%,1.9%
E14001395,North Herefordshire,Conservatives,Green Party,Conservatives,35.51%,14.94%,7.60%,19.03%,22.52%,,,0.40%,,13.0%,,31.7%,40.6%,9.8%,19.5%,4.8%,11.4%,14.6%,23.5%,17.4%,28.3%,0.0%,0.0%,,,0.1%,1.5%
E14001396,North Norfolk,Liberal Democrats,Conservatives,Conservatives,34.00%,6.79%,35.62%,20.87%,2.72%,,,0.00%,,1.6%,,30.4%,38.1%,3.4%,11.4%,30.3%,40.2%,17.0%,24.7%,1.8%,4.2%,0.0%,0.0%,,,0.0%,0.0%
E14001397,North Northumberland,Labour,Conservatives,Conservatives,27.75%,32.50%,11.95%,21.45%,5.01%,,,1.34%,,4.7%,,24.0%,31.7%,26.5%,37.7%,8.3%,16.8%,17.1%,25.9%,3.2%,7.6%,0.0%,0.0%,,,0.4%,4.2%
E14001398,North Shropshire,Conservatives,Reform UK,Conservatives,32.04%,17.82%,21.88%,23.27%,4.61%,,,0.38%,,8.8%,,27.5%,36.8%,12.9%,22.4%,16.5%,28.5%,18.2%,27.6%,2.8%,7.3%,0.0%,0.0%,,,0.1%,1.4%
E14001399,North Somerset,Labour,Conservatives,Conservatives,27.37%,38.21%,10.75%,15.52%,7.80%,,,0.36%,,10.8%,,23.4%,31.8%,32.5%,43.5%,7.0%,14.9%,11.9%,19.9%,5.1%,11.3%,0.0%,0.0%,,,0.1%,1.3%
E14001400,North Warwickshire and Bedworth,Labour,Conservatives,Conservatives,32.95%,36.10%,4.38%,22.67%,3.89%,,,0.00%,,3.2%,,28.9%,37.0%,31.0%,40.5%,2.7%,6.9%,18.2%,27.3%,2.6%,6.2%,0.0%,0.0%,,,0.0%,0.0%
E14001401,North West Cambridgeshire,Labour,Conservatives,Conservatives,30.64%,31.03%,10.78%,19.34%,8.22%,,,0.00%,,0.4%,,27.3%,33.9%,26.8%,35.5%,7.9%,14.4%,15.5%,22.8%,5.9%,10.9%,0.0%,0.0%,,,0.0%,0.0%
E14001402,North West Essex,Conservatives,Labour,Conservatives,35.52%,30.36%,13.02%,16.15%,4.73%,,,0.22%,,5.2%,,31.9%,39.1%,25.3%,34.8%,9.8%,16.7%,13.2%,20.0%,3.4%,7.0%,0.0%,0.0%,,,0.1%,0.8%
E14001403,North West Hampshire,Conservatives,Labour,Conservatives,33.85%,31.22%,14.96%,14.33%,5.38%,,,0.26%,,2.6%,,30.2%,37.4%,25.8%,35.6%,11.3%,19.3%,11.1%,17.7%,3.8%,7.8%,0.0%,0.0%,,,0.1%,0.9%
E14001404,North West Leicestershire,Labour,Conservatives,Conservatives,29.21%,41.87%,6.12%,17.11%,5.22%,,,0.46%,,12.7%,,25.4%,32.8%,35.6%,47.1%,3.6%,9.3%,13.2%,21.6%,3.4%,7.9%,0.0%,0.0%,,,0.1%,1.6%
E14001405,North West Norfolk,Conservatives,Labour,Conservatives,35.56%,26.41%,7.58%,25.69%,4.76%,,,0.00%,,9.1%,,31.2%,39.0%,21.9%,30.9%,5.4%,10.6%,21.7%,29.5%,3.3%,6.5%,0.0%,0.0%,,,0.0%,0.0%
E14001406,Northampton North,Labour,Conservatives,Conservatives,24.29%,46.05%,6.18%,18.41%,3.95%,,,1.12%,,21.8%,,21.6%,28.0%,41.1%,49.5%,4.1%,9.0%,15.0%,22.4%,2.7%,5.8%,0.0%,0.0%,,,0.4%,3.0%
E14001407,Northampton South,Labour,Conservatives,Conservatives,30.24%,40.08%,7.49%,17.44%,4.41%,,,0.35%,,9.8%,,26.3%,33.5%,35.0%,44.7%,4.6%,11.3%,13.6%,21.5%,2.8%,7.2%,0.0%,0.0%,,,0.1%,1.3%
E14001408,Norwich North,Labour,Conservatives,Conservatives,26.25%,48.31%,4.00%,16.40%,4.65%,,,0.39%,,22.1%,,23.4%,29.2%,44.1%,52.0%,2.5%,6.0%,13.0%,20.3%,3.1%,6.8%,0.0%,0.0%,,,0.1%,1.2%
E14001409,Norwich South,Labour,Conservatives,Labour,15.12%,57.39%,8.28%,11.52%,7.13%,,,0.56%,,42.3%,,12.5%,17.5%,53.0%,62.0%,5.2%,12.2%,9.1%,14.4%,4.8%,10.0%,0.0%,0.0%,,,0.1%,1.8%
E14001410,Nottingham East,Labour,Conservatives,Labour,13.74%,60.60%,6.74%,10.16%,7.85%,,,0.90%,,46.9%,,11.1%,16.1%,55.8%,64.7%,4.6%,9.5%,7.8%,12.7%,5.6%,10.8%,0.0%,0.0%,,,0.2%,2.7%
E14001411,Nottingham North and Kimberley,Labour,Reform UK,Labour,17.45%,52.11%,2.69%,22.80%,4.94%,,,0.00%,,29.3%,,14.9%,20.3%,46.8%,56.5%,1.7%,5.0%,18.5%,26.9%,3.2%,7.9%,0.0%,0.0%,,,0.0%,0.0%
E14001412,Nottingham South,Labour,Conservatives,Labour,16.09%,55.25%,6.23%,14.20%,7.62%,,,0.61%,,39.2%,,13.6%,19.2%,49.9%,59.5%,3.8%,9.7%,10.9%,17.4%,4.8%,12.1%,0.0%,0.0%,,,0.2%,2.0%
E14001413,Nuneaton,Labour,Conservatives,Conservatives,27.15%,38.01%,4.16%,24.23%,5.76%,,,0.69%,,10.9%,,23.6%,30.6%,32.4%,42.5%,2.5%,7.0%,19.5%,28.9%,4.0%,8.2%,0.0%,0.0%,,,0.2%,2.4%
E14001414,Old Bexley and Sidcup,Conservatives,Labour,Conservatives,38.69%,28.97%,6.58%,19.84%,5.59%,,,0.32%,,9.7%,,34.3%,42.4%,23.8%,33.4%,4.3%,9.6%,15.9%,24.1%,3.5%,8.2%,0.0%,0.0%,,,0.1%,1.1%
E14001415,Oldham East and Saddleworth,Labour,Reform UK,Labour,17.77%,48.12%,4.99%,22.72%,4.03%,,,2.37%,,25.4%,,14.2%,20.2%,42.8%,52.7%,3.0%,7.5%,19.0%,26.9%,2.4%,6.5%,0.0%,0.0%,,,0.9%,6.2%
E14001416,"Oldham West, Chadderton and Royton",Labour,Reform UK,Labour,14.12%,56.39%,3.66%,18.48%,5.23%,,,2.13%,,37.9%,,11.2%,16.2%,51.8%,60.1%,2.2%,5.5%,15.2%,21.6%,3.4%,7.4%,0.0%,0.0%,,,0.9%,5.2%
E14001417,Orpington,Conservatives,Labour,Conservatives,36.93%,31.72%,8.19%,18.69%,4.15%,,,0.32%,,5.2%,,32.3%,40.7%,25.9%,36.5%,5.4%,11.7%,15.0%,22.9%,2.8%,6.2%,0.0%,0.0%,,,0.1%,1.2%
E14001418,Ossett and Denby Dale,Labour,Conservatives,Conservatives,28.93%,36.04%,6.80%,21.97%,5.80%,,,0.46%,,7.1%,,24.8%,32.7%,30.7%,40.8%,4.1%,10.9%,18.0%,26.3%,3.6%,8.9%,0.0%,0.0%,,,0.1%,1.8%
E14001419,Oxford East,Labour,Conservatives,Labour,11.96%,68.65%,8.85%,0.00%,9.12%,,,1.42%,,56.7%,,9.4%,14.8%,61.9%,73.6%,5.4%,14.1%,0.0%,0.0%,5.8%,13.4%,0.0%,0.0%,,,0.4%,5.1%
E14001420,Oxford West and Abingdon,Liberal Democrats,Labour,Liberal Democrats,17.14%,17.67%,48.18%,9.98%,6.49%,,,0.53%,,30.5%,,13.6%,20.7%,12.5%,22.5%,43.5%,53.4%,7.4%,12.9%,4.1%,9.2%,0.0%,0.0%,,,0.1%,1.8%
E14001421,Peckham,Labour,Green Party,Labour,5.99%,71.43%,6.54%,6.52%,8.68%,,,0.85%,,62.7%,,4.1%,8.1%,65.6%,75.0%,4.0%,11.0%,4.9%,8.5%,5.2%,12.9%,0.0%,0.0%,,,0.2%,3.3%
E14001422,Pendle and Clitheroe,Labour,Conservatives,Conservatives,28.29%,40.83%,5.46%,20.29%,4.19%,,,0.93%,,12.5%,,24.5%,32.1%,36.5%,45.7%,3.2%,8.5%,16.4%,24.4%,2.6%,6.8%,0.0%,0.0%,,,0.3%,2.8%
E14001423,Penistone and Stocksbridge,Labour,Reform UK,Conservatives,23.36%,39.33%,8.27%,24.76%,4.28%,,,0.00%,,14.6%,,20.5%,26.8%,34.8%,43.7%,5.7%,11.8%,20.6%,28.7%,2.7%,6.6%,0.0%,0.0%,,,0.0%,0.0%
E14001424,Penrith and Solway,Labour,Conservatives,Conservatives,25.84%,42.01%,7.57%,19.92%,4.23%,,,0.44%,,16.2%,,22.1%,29.7%,36.3%,47.3%,4.8%,12.3%,16.2%,24.7%,2.6%,6.5%,0.0%,0.0%,,,0.1%,1.7%
E14001425,Peterborough,Labour,Conservatives,Conservatives,24.38%,45.17%,5.29%,17.30%,6.43%,,,1.43%,,20.8%,,20.9%,27.7%,40.0%,49.2%,3.1%,8.2%,13.1%,20.7%,4.1%,10.7%,0.0%,0.0%,,,0.3%,3.6%
E14001426,Plymouth Moor View,Labour,Conservatives,Conservatives,28.26%,43.87%,3.07%,19.94%,4.86%,,,0.00%,,15.6%,,24.6%,31.6%,39.0%,48.8%,1.9%,5.0%,15.9%,24.4%,3.1%,7.4%,0.0%,0.0%,,,0.0%,0.0%
E14001427,Plymouth Sutton and Devonport,Labour,Conservatives,Labour,18.87%,51.04%,5.06%,18.28%,5.94%,,,0.81%,,32.2%,,15.8%,21.4%,45.5%,54.9%,3.1%,8.0%,15.2%,21.4%,3.9%,8.6%,0.0%,0.0%,,,0.3%,2.8%
E14001428,"Pontefract, Castleford and Knottingley",Labour,Reform UK,Labour,14.15%,48.85%,4.23%,29.03%,3.38%,,,0.36%,,19.8%,,11.9%,16.6%,44.3%,52.3%,2.7%,6.7%,25.5%,32.7%,2.3%,5.0%,0.0%,0.0%,,,0.1%,1.1%
E14001429,Poole,Conservatives,Labour,Conservatives,33.04%,31.83%,9.77%,19.84%,3.76%,,,1.75%,,1.2%,,29.7%,36.7%,27.4%,36.2%,7.2%,12.9%,15.9%,23.9%,2.7%,5.2%,0.0%,0.0%,,,0.7%,4.0%
E14001430,Poplar and Limehouse,Labour,Conservatives,Labour,10.32%,66.90%,8.70%,7.08%,5.14%,,,1.85%,,56.6%,,8.0%,12.6%,62.3%,70.6%,5.6%,12.2%,5.2%,9.0%,3.1%,7.8%,0.0%,0.0%,,,0.5%,5.2%
E14001431,Portsmouth North,Conservatives,Labour,Conservatives,37.14%,36.91%,4.42%,17.12%,4.40%,,,0.00%,,0.2%,,33.6%,40.6%,32.9%,40.9%,3.1%,6.6%,13.9%,20.7%,3.0%,6.5%,0.0%,0.0%,,,0.0%,0.0%
E14001432,Portsmouth South,Labour,Conservatives,Labour,20.26%,51.34%,6.95%,16.73%,3.32%,,,1.40%,,31.1%,,17.5%,22.9%,46.8%,55.1%,4.5%,10.4%,13.6%,20.0%,2.2%,4.9%,0.0%,0.0%,,,0.4%,4.0%
E14001433,Preston,Labour,Reform UK,Labour,15.04%,56.38%,5.52%,16.54%,4.81%,,,1.71%,,39.8%,,12.2%,17.8%,51.3%,60.2%,3.3%,8.6%,13.6%,20.5%,3.2%,7.4%,0.0%,0.0%,,,0.6%,4.2%
E14001434,Putney,Labour,Conservatives,Labour,22.50%,50.19%,13.41%,7.78%,5.17%,,,0.95%,,27.7%,,19.5%,26.0%,45.2%,54.1%,9.2%,18.6%,5.7%,10.4%,3.6%,7.7%,0.0%,0.0%,,,0.3%,3.2%
E14001435,Queen's Park and Maida Vale,Labour,Conservatives,Labour,11.17%,67.68%,6.98%,7.10%,5.86%,,,1.21%,,56.5%,,8.7%,13.9%,62.3%,71.3%,4.3%,11.2%,5.4%,9.6%,3.6%,9.1%,0.0%,0.0%,,,0.3%,3.5%
E14001436,Rawmarsh and Conisbrough,Labour,Reform UK,Labour,16.18%,47.01%,3.07%,29.66%,3.37%,,,0.71%,,17.4%,,13.5%,18.7%,42.6%,51.4%,1.9%,5.4%,25.7%,32.5%,2.2%,5.7%,0.0%,0.0%,,,0.2%,2.2%
E14001437,Rayleigh and Wickford,Conservatives,Reform UK,Conservatives,38.70%,19.99%,8.31%,28.42%,4.59%,,,0.00%,,10.3%,,34.7%,42.3%,16.2%,24.9%,5.7%,11.4%,23.8%,32.5%,3.3%,6.6%,0.0%,0.0%,,,0.0%,0.0%
E14001438,Reading Central,Labour,Conservatives,Labour,20.94%,53.98%,6.11%,12.00%,6.48%,,,0.50%,,33.0%,,17.9%,23.5%,49.5%,57.7%,3.9%,9.6%,9.2%,14.8%,4.3%,9.4%,0.0%,0.0%,,,0.1%,1.9%
E14001439,Reading West and Mid Berkshire,Labour,Conservatives,Conservatives,29.48%,38.85%,12.66%,14.44%,3.85%,,,0.72%,,9.4%,,25.2%,33.4%,33.0%,44.8%,8.7%,18.0%,11.1%,18.5%,2.5%,5.6%,0.0%,0.0%,,,0.2%,2.6%
E14001440,Redcar,Labour,Reform UK,Conservatives,22.22%,47.38%,2.99%,23.66%,3.20%,,,0.56%,,23.7%,,18.5%,25.7%,42.0%,51.4%,1.7%,5.4%,19.5%,28.4%,2.0%,5.4%,0.0%,0.0%,,,0.2%,2.0%
E14001441,Redditch,Conservatives,Labour,Conservatives,36.53%,35.55%,5.19%,18.26%,4.17%,,,0.29%,,1.0%,,32.8%,40.5%,30.6%,40.2%,3.3%,8.1%,14.9%,21.9%,2.9%,6.4%,0.0%,0.0%,,,0.1%,0.9%
E14001442,Reigate,Conservatives,Labour,Conservatives,32.34%,32.32%,11.82%,14.97%,8.55%,,,0.00%,,0.0%,,28.9%,35.9%,27.5%,37.0%,8.5%,15.5%,11.7%,19.1%,5.6%,11.4%,0.0%,0.0%,,,0.0%,0.0%
E14001443,Ribble Valley,Labour,Conservatives,Conservatives,29.83%,37.32%,9.49%,19.02%,3.95%,,,0.39%,,7.5%,,26.1%,34.0%,32.1%,43.2%,5.8%,14.4%,14.8%,23.0%,2.5%,6.3%,0.0%,0.0%,,,0.1%,1.6%
E14001444,Richmond and Northallerton,Conservatives,Labour,Conservatives,37.09%,24.16%,11.37%,21.58%,5.36%,,,0.44%,,12.9%,,31.3%,41.9%,18.2%,29.6%,7.1%,16.8%,16.4%,27.0%,3.1%,8.3%,0.0%,0.0%,,,0.1%,1.8%
E14001445,Richmond Park,Liberal Democrats,Conservatives,Liberal Democrats,25.01%,3.70%,60.59%,7.18%,3.14%,,,0.38%,,35.6%,,21.2%,28.4%,1.0%,8.4%,55.2%,64.7%,5.2%,9.5%,2.2%,5.0%,0.0%,0.0%,,,0.1%,1.7%
E14001446,Rochdale,Labour,Reform UK,Labour,14.83%,56.07%,8.00%,16.31%,4.10%,,,0.69%,,39.8%,,12.2%,17.6%,50.4%,60.6%,4.7%,12.3%,13.2%,19.3%,2.6%,6.4%,0.0%,0.0%,,,0.1%,2.0%
E14001447,Rochester and Strood,Labour,Conservatives,Conservatives,29.73%,37.04%,7.67%,20.70%,4.50%,,,0.35%,,7.3%,,26.0%,33.4%,31.9%,42.0%,5.3%,12.0%,16.1%,24.9%,2.8%,6.6%,0.0%,0.0%,,,0.1%,1.6%
E14001448,Romford,Conservatives,Labour,Conservatives,36.37%,34.90%,3.71%,20.60%,3.91%,,,0.51%,,1.5%,,32.3%,40.3%,30.1%,39.1%,2.4%,5.9%,16.7%,24.2%,2.7%,5.5%,0.0%,0.0%,,,0.1%,1.3%
E14001449,Romsey and Southampton North,Conservatives,Liberal Democrats,Conservatives,30.49%,18.80%,28.91%,16.97%,4.54%,,,0.30%,,1.6%,,26.7%,34.2%,14.8%,23.3%,24.0%,33.4%,13.6%,20.9%,3.2%,6.4%,0.0%,0.0%,,,0.1%,1.0%
E14001450,Rossendale and Darwen,Labour,Conservatives,Conservatives,28.68%,43.09%,3.86%,18.46%,5.49%,,,0.42%,,14.4%,,24.7%,31.9%,37.4%,47.9%,2.3%,6.4%,14.4%,22.6%,3.6%,8.1%,0.0%,0.0%,,,0.1%,1.6%
E14001451,Rother Valley,Labour,Conservatives,Conservatives,25.01%,41.70%,3.72%,23.61%,5.96%,,,0.00%,,16.7%,,21.8%,28.0%,37.0%,45.8%,2.3%,5.8%,19.8%,27.2%,3.9%,8.8%,0.0%,0.0%,,,0.0%,0.0%
E14001452,Rotherham,Labour,Reform UK,Labour,0.00%,53.00%,5.50%,35.79%,5.17%,,,0.54%,,17.2%,,0.0%,0.0%,47.3%,57.3%,3.4%,8.8%,30.9%,40.8%,3.2%,8.2%,0.0%,0.0%,,,0.1%,1.8%
